aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
56,0.133471446,0.327866643,0.396736446,0.141925465,manymagpie,,
57,0.295120389,0.200143501,0.407095062,0.097641049,Borys Lang,,
58,0.129121343,0.720846449,0.089829254,0.060202954,Borys Lang,,
59,0.423195532,0.200592035,0.235001646,0.141210786,Borys Lang,,
60,0.147958921,0.607858093,0.147809651,0.096373335,Attack Helicopter,,
61,0.220363355,0.149475537,0.493380776,0.136780331,manymagpie,,
62,0.110561671,0.541151548,0.09909186,0.249194922,Attack Helicopter,,
63,0.372545854,0.120960128,0.131832599,0.374661419,Borys Lang,,
64,0.244807135,0.36686011,0.235765326,0.152567429,Attack Helicopter,,
65,0.302569065,0.270785525,0.073813188,0.352832222,Attack Helicopter,,
66,0.266076052,0.187509186,0.191853759,0.354561003,moonmoth,,
67,0.165044558,0.136929786,0.367851036,0.33017462,manymagpie,,
68,0.179963859,0.572444655,0.113514107,0.134077379,Attack Helicopter,,
69,0.438443753,0.157828209,0.168317047,0.235410992,Borys Lang,,
70,0.302372528,0.068567227,0.272157753,0.356902492,Borys Lang,,
71,0.268890943,0.244391904,0.151772015,0.334945138,Attack Helicopter,,
aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
0,1,0,0,0,Borys Lang,,
1,0.267743209,0.732256791,0,0,Attack Helicopter,,
2,0.730738583,0.269261417,0,0,Borys Lang,,
3,0.197120851,0.802879149,0,0,Attack Helicopter,,
4,0.791432265,0.208567735,0,0,Borys Lang,,
5,0.173104117,0.288758899,0.538136984,0,manymagpie,,
6,0.27500764,0.55406747,0.170924891,0,Attack Helicopter,,
7,0.243764647,0.686879978,0.069355375,0,Borys Lang,,
8,0.217238313,0.590300795,0.192460892,0,Attack Helicopter,,
9,0.50555172,0.168522505,0.325925775,0,Borys Lang,,
10,0.260231296,0.574508024,0.16526068,0,Attack Helicopter,,
11,0.152310914,0.346614074,0.501075012,0,manymagpie,,
12,0.226046605,0.276277398,0.497675998,0,manymagpie,,
13,0.669767685,0.194813314,0.135419001,0,Borys Lang,,
14,0.111664474,0.283681707,0.604653819,0,manymagpie,,
15,0.49518692,0.367877953,0.136935128,0,Borys Lang,,
16,0.168615,0.452958971,0.378426029,0,manymagpie,,
17,0.432433894,0.268197172,0.299368934,0,Borys Lang,,
18,0.154617181,0.716898852,0.128483967,0,Attack Helicopter,,
19,0.602032443,0.068518951,0.329448606,0,manymagpie,,
20,0.212032837,0.600134069,0.187833094,0,Attack Helicopter,,
21,0.43088628,0.165740319,0.4033734,0,Borys Lang,,
22,0.196225929,0.098426062,0.295254788,0.410093221,moonmoth,,
23,0.301733453,0.356147274,0.207015512,0.135103761,Attack Helicopter,,
24,0.239465972,0.249138814,0.400096074,0.11129914,manymagpie,,
