nonself,,,,,,,
aiA,User1,User2,User3,user,,,
18,0.431267,0.150532,0.164622,0.13048,0.123099,Bobby,
19,0.1554,0.138147,0.197269,0.206658,0.302526,Bobby,
20,0.184751,0.302381,0.174472,0.160816,0.17758,Daisy,
21,0.464095,0.193912,0.108148,0.069628,0.164217,Mary,
22,0.294099,0.118328,0.463711,0.07498,0.048883,Alex,
23,0.388783,0.119174,0.114645,0.063174,0.314224,Mary,
24,0.186585,0.226575,0.183189,0.198199,0.205453,Bobby,
25,0.325251,0.195193,0.281912,0.109248,0.088396,Alex,
26,0.292545,0.254051,0.245316,0.108313,0.099774,Alex,
27,0.170651,0.185615,0.13347,0.098401,0.411863,Mary,
28,0.470577,0.156983,0.206647,0.085169,0.080623,Alex,
29,0.303195,0.17669,0.129641,0.207745,0.18273,Gary,
30,0.119508,0.19829,0.140862,0.10733,0.434009,Mary,
31,0.118347,0.238828,0.420814,0.120517,0.101494,Alex,
32,0.327952,0.190621,0.142939,0.178304,0.160184,Bobby,
33,0.156122,0.358643,0.048831,0.075628,0.360776,Gary,
34,0.334433,0.223506,0.033048,0.048394,0.360619,Ursula,
35,0.296715,0.267041,0.04798,0.07784,0.310424,Mary,
36,0.380163,0.251698,0.033049,0.057468,0.277623,Mary,
37,0.204849,0.212983,0.209858,0.132045,0.240266,Bobby,
38,0.196139,0.199039,0.203939,0.307529,0.093355,Alex,
39,0.222375,0.20577,0.347941,0.089038,0.134876,Daisy,
40,0.155309,0.229703,0.061371,0.465748,0.087868,Gary,
41,0.278751,0.143095,0.180428,0.275531,0.122195,Bobby,
42,0.188095,0.222501,0.132752,0.331934,0.124719,Gary,
43,0.260353,0.182693,0.19654,0.145408,0.215006,Alex,
44,0.245987,0.202391,0.193639,0.211189,0.146795,Bobby,
45,0.187708,0.356274,0.090329,0.237965,0.127724,Mary,
46,0.402473,0.161321,0.074793,0.260822,0.100593,Ursula,
47,0.212673,0.201739,0.142092,0.118564,0.324933,Alex,
48,0.196533,0.260035,0.103864,0.267415,0.172152,Mary,
49,0.169281,0.129758,0.394885,0.151575,0.154502,Gary,
50,0.057919,0.102369,0.067825,0.171953,0.599935,Bobby,
51,0.091023,0.236781,0.263525,0.140449,0.268222,Alex,
52,0.106433,0.28687,0.121122,0.192315,0.29326,Mary,
53,0.086001,0.250367,0.389516,0.100513,0.173603,Daisy,
54,0.161895,0.23456,0.113318,0.148841,0.341386,Gary,
55,0.120247,0.261673,0.097509,0.347354,0.173217,Ursula,
56,0.171889,0.211497,0.18851,0.171757,0.256347,Bobby,
57,0.151971,0.301333,0.109925,0.256584,0.180188,Mary,
58,0.191529,0.207001,0.144921,0.173445,0.283102,Bobby,
59,0.135305,0.189277,0.253136,0.132946,0.289335,Mary,
60,0.097369,0.384161,0.22212,0.111511,0.184839,Alex,
61,0.143505,0.238404,0.156298,0.261951,0.199841,Bobby,
62,0.086417,0.170861,0.064915,0.230106,0.4477,Ursula,
63,0.346108,0.170328,0.118169,0.174471,0.190924,Mary,
64,0.218469,0.152613,0.302999,0.146734,0.179185,Bobby,
65,0.472043,0.097164,0.231538,0.087374,0.111882,Mary,
66,0.147293,0.157187,0.190697,0.257193,0.24763,Ursula,
67,0.171381,0.163033,0.16413,0.23094,0.270516,Bobby,
68,0.34008,0.10004,0.09843,0.196976,0.264474,Mary,
69,0.13768,0.194753,0.191956,0.128981,0.34663,Daisy,
70,0.12941,0.336868,0.160217,0.165147,0.208358,Alex,
71,0.424376,0.124738,0.118739,0.235118,0.097029,Mary,
